ticker,company_name,sector,industry,company_size,source,metadata_source,metadata_source_url,metadata_as_of,business_description,flagship_products,revenue_segments,primary_customers,geographic_exposure,competitive_position,key_static_risks,exchange,currency,country,website,founded_year,headquarters,ipo_year,market_cap
AAPL,Apple Inc.,Technology,Computer Manufacturing,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/aapl,2026-06-17,"Apple revolutionized personal technology with the introduction of the Macintosh in 1984. Today, Apple leads the world in innovation with iPhone, iPad, Mac, AirPods, Apple Watch, and Apple Vision Pro. Apple's six software platforms - iOS, iPadOS, macOS, watchOS, visionOS, and tvOS - provide seamless experiences across all Apple devices and empower people with breakthrough services including the App Store, Apple Music, Apple Pay, iCloud, and Apple TV. Apple's more than 150,000 employees are dedicated to making the best products on earth and to leaving the world better than we found it.",,,,North America,,,,USD,United States,https://www.apple.com,,"ONE APPLE PARK WAY, CUPERTINO, California, 95014, United States",1980,4395044409440.00
MSFT,Microsoft Corporation,Technology,Computer Software: Prepackaged Software,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/msft,2026-06-17,"Microsoft (Nasdaq 'MSFT') creates platforms and tools powered by AI to deliver innovative solutions that meet the evolving needs of customers. The company is committed to making AI broadly available and doing so responsibly, with a mission to empower every person and every organization on the planet to achieve more.",,,,North America,,,,USD,United States,https://www.microsoft.com,,"ONE MICROSOFT WAY, REDMOND, Washington, 98052-6399, United States",1986,2925540439476.00
NVDA,NVIDIA Corporation,Technology,Semiconductors,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/nvda,2026-06-17,NVIDIA (NASDAQ: NVDA) is the world leader in AI and accelerated computing.,,,,North America,,,,USD,United States,https://www.nvidia.com,,"2788 SAN TOMAS EXPRESSWAY, SANTA CLARA, California, 95051, United States",1999,5019322000000.00
AVGO,Broadcom Inc.,Technology,Semiconductors,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/avgo,2026-06-17,"Broadcom Inc. (NASDAQ: AVGO) is a technology leader that designs, develops, and supplies semiconductors and infrastructure software for global organizations' complex, mission-critical needs. Broadcom combines long-term R&D investment with superb execution to deliver the best technology, at scale. Broadcom is a Delaware corporation headquartered in Palo Alto, CA. For more information, visit www.broadcom.com.",,,,North America,,,,USD,United States,https://www.broadcom.com,,"3421 HILLVIEW AVENUE, PALO ALTO, California, 94304, United States",2009,1792228036389.00
ORCL,Oracle Corporation,Technology,Computer Software: Prepackaged Software,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/orcl,2026-06-17,"Oracle offers integrated suites of applications plus secure, autonomous infrastructure in the Oracle Cloud.",,,,North America,,,,USD,United States,https://www.oracle.com,,"2300 ORACLE WAY, AUSTIN, Texas, 78741, United States",1986,541645743180.00
CRM,"Salesforce, Inc.",Technology,Computer Software: Prepackaged Software,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/crm,2026-06-17,"Salesforce helps organizations of any size become agentic enterprises - integrating humans, agents, apps, and data on a trusted, unified platform to unlock unprecedented growth and innovation. Visit www.salesforce.com for more information.",,,,North America,,,,USD,United States,https://www.salesforce.com,,"415 MISSION STREET,3RD FL,SALESFORCE TOWER, SAN FRANCISCO, California, 94105, United States",2004,132440490000.00
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/amd,2026-06-17,"AMD (NASDAQ: AMD ) drives innovation in high-performance and AI computing to solve the world's most important challenges. Today, AMD technology powers billions of experiences across cloud and AI infrastructure, embedded systems, AI PCs and gaming. With a broad portfolio of AI-optimized CPUs, GPUs, networking and software, AMD delivers full-stack AI solutions that provide the performance and scalability needed for a new era of intelligent computing. Learn more at www.amd.com.",,,,North America,,,,USD,United States,https://www.amd.com,,"2485 AUGUSTINE DRIVE, SANTA CLARA, California, 95054, United States",,827187398158.00
ADBE,Adobe Inc.,Technology,Computer Software: Prepackaged Software,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/adbe,2026-06-17,"Adobe (Nasdaq: ADBE) empowers everyone, everywhere to imagine, create, and bring any digital experience to life. From global enterprises, nonprofit organizations to small businesses and students - customers choose Adobe products to ideate, collaborate, be more productive, drive business growth, and build remarkable experiences.",,,,North America,,,,USD,United States,https://www.adobe.com,,"345 PARK AVENUE, SAN JOSE, California, 95110-2704, United States",1986,83798744000.00
ACN,Accenture plc,Consumer Discretionary,Business Services,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/acn,2026-06-17,"Accenture helps the world's leading enterprises reinvent by building their digital core and unleashing the power of AI to create value at speed for organizations across industries. Our strategy is to be the reinvention partner of choice for our clients and lead in the safe, widespread adoption of AI, and to be the most client-focused, AI-enabled, great place to work in the world. We bring together the talent of our approximately 786,000 people with proprietary assets and platforms, deep process and industry expertise, and leading ecosystem relationships to deliver end-to-end solutions and measurable outcomes at scale. Through our Reinvention Services, we offer broad expertise across Cybersecurity, Digital Core, Finance, Industry and Enterprise, Song, Supply Chain and Engineering, and Talent, with advanced capabilities in AI and Data, Industry and Process, and Technology. We serve approximately 9,000 clients and generated approximately $70 billion in FY25 revenue. Visit us at accenture.",,,,Europe,,,,USD,Ireland,https://www.accenture.com,,"1 GRAND CANAL SQUARE,GRAND CANAL HARBOUR, DUBLIN 2, Ireland",2001,110094310461.00
CSCO,"Cisco Systems, Inc.",Telecommunications,Computer Communications Equipment,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/csco,2026-06-17,"Cisco (NASDAQ: CSCO) is the worldwide technology leader that is revolutionizing the way organizations connect and protect in the AI era. For more than 40 years, Cisco has securely connected the world. With its industry leading AI-powered solutions and services, Cisco enables its customers, partners and communities to unlock innovation, enhance productivity and strengthen digital resilience. With purpose at its core, Cisco remains committed to creating a more connected and inclusive future for all. Discover more on The Newsroom and follow us on X at @Cisco.",,,,North America,,,,USD,United States,https://www.cisco.com,,"170 WEST TASMAN DRIVE, SAN JOSE, California, 95134, United States",1990,471277342894.00
