ticker,classification,decision_grade_active,missing_required_fields,provider_availability,canonical_ticker,reason,evidence_source,reviewed_at
BRK.B,provider_partial_profile,false,sector|industry,nasdaq_company_profile,BRK.B,"Provider profile evidence exists, but required metadata remains incomplete.",nasdaq_cache,2026-07-05
MMC,missing_provider_coverage,false,company_name|sector|industry|metadata_source|metadata_source_url|metadata_as_of,none,MMC,No cached provider evidence was found for this ticker.,none,2026-07-05
BK,missing_provider_coverage,false,company_name|sector|industry|metadata_source|metadata_source_url|metadata_as_of,none,BK,No cached provider evidence was found for this ticker.,none,2026-07-05
FI,missing_provider_coverage,false,company_name|sector|industry|metadata_source|metadata_source_url|metadata_as_of,none,FI,No cached provider evidence was found for this ticker.,none,2026-07-05
DFS,missing_provider_coverage,false,company_name|sector|industry|metadata_source|metadata_source_url|metadata_as_of,none,DFS,No cached provider evidence was found for this ticker.,none,2026-07-05
HOLX,missing_provider_coverage,false,company_name|sector|industry|metadata_source|metadata_source_url|metadata_as_of,none,HOLX,No cached provider evidence was found for this ticker.,none,2026-07-05
DARDEN,missing_provider_coverage,false,company_name|sector|industry|metadata_source|metadata_source_url|metadata_as_of,none,DARDEN,No cached provider evidence was found for this ticker.,none,2026-07-05
PARA,missing_provider_coverage,false,company_name|sector|industry|metadata_source|metadata_source_url|metadata_as_of,none,PARA,No cached provider evidence was found for this ticker.,none,2026-07-05
IPG,missing_provider_coverage,false,company_name|sector|industry|metadata_source|metadata_source_url|metadata_as_of,none,IPG,No cached provider evidence was found for this ticker.,none,2026-07-05
K,missing_provider_coverage,false,company_name|sector|industry|metadata_source|metadata_source_url|metadata_as_of,none,K,No cached provider evidence was found for this ticker.,none,2026-07-05
SPC,missing_provider_coverage,false,company_name|sector|industry|metadata_source|metadata_source_url|metadata_as_of,none,SPC,No cached provider evidence was found for this ticker.,none,2026-07-05
WBA,missing_provider_coverage,false,company_name|sector|industry|metadata_source|metadata_source_url|metadata_as_of,none,WBA,No cached provider evidence was found for this ticker.,none,2026-07-05
